Date,Vegetable_Name,Units,Market_Price,Retail_Price,Shoping_Mall_Price
4/15/2022,Onion Big,1kg,20,23 - 25,24 - 33
4/16/2022,Onion Big,1kg,20,23 - 25,24 - 33
4/17/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/18/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/19/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/20/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/21/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/22/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/23/2022,Onion Big,1kg,22,25 - 28,26 - 36
4/24/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/25/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/26/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/27/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/28/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/29/2022,Onion Big,1kg,21,24 - 27,25 - 35
4/30/2022,Onion Big,1kg,21,24 - 27,25 - 35
5/1/2022,Onion Big,1kg,21,24 - 27,25 - 35
5/2/2022,Onion Big,1kg,20,23 - 25,24 - 33
5/3/2022,Onion Big,1kg,20,23 - 25,24 - 33
5/4/2022,Onion Big,1kg,20,23 - 25,24 - 33
5/5/2022,Onion Big,1kg,22,25 - 28,26 - 36
5/6/2022,Onion Big,1kg,22,25 - 28,26 - 36
5/7/2022,Onion Big,1kg,22,25 - 28,26 - 36
5/8/2022,Onion Big,1kg,22,25 - 28,26 - 36
5/9/2022,Onion Big,1kg,22,25 - 28,26 - 36
5/10/2022,Onion Big,1kg,22,25 - 28,26 - 36
5/11/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/12/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/13/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/14/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/15/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/16/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/17/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/18/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/19/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/20/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/21/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/22/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/23/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/24/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/25/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/26/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/27/2022,Onion Big,1kg,17,20 - 22,20 - 28
5/28/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/29/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/30/2022,Onion Big,1kg,19,22 - 24,23 - 31
5/31/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/1/2022,Onion Big,1kg,17,20 - 22,20 - 28
6/2/2022,Onion Big,1kg,17,20 - 22,20 - 28
6/3/2022,Onion Big,1kg,17,20 - 22,20 - 28
6/4/2022,Onion Big,1kg,16,18 - 20,19 - 26
6/5/2022,Onion Big,1kg,16,18 - 20,19 - 26
6/6/2022,Onion Big,1kg,16,18 - 20,19 - 26
6/7/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/8/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/9/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/10/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/11/2022,Onion Big,1kg,21,24 - 27,25 - 35
6/12/2022,Onion Big,1kg,21,24 - 27,25 - 35
6/13/2022,Onion Big,1kg,21,24 - 27,25 - 35
6/14/2022,Onion Big,1kg,20,23 - 25,24 - 33
6/15/2022,Onion Big,1kg,20,23 - 25,24 - 33
6/16/2022,Onion Big,1kg,20,23 - 25,24 - 33
6/17/2022,Onion Big,1kg,20,23 - 25,24 - 33
6/18/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/19/2022,Onion Big,1kg,19,22 - 24,23 - 31
6/20/2022,Onion Big,1kg,24,28 - 30,29 - 40
6/21/2022,Onion Big,1kg,24,28 - 30,29 - 40
6/22/2022,Onion Big,1kg,24,28 - 30,29 - 40
6/23/2022,Onion Big,1kg,25,29 - 32,30 - 41
6/24/2022,Onion Big,1kg,25,29 - 32,30 - 41
6/25/2022,Onion Big,1kg,25,29 - 32,30 - 41
6/26/2022,Onion Big,1kg,25,29 - 32,30 - 41
6/27/2022,Onion Big,1kg,24,28 - 30,29 - 40
6/28/2022,Onion Big,1kg,24,28 - 30,29 - 40
6/29/2022,Onion Big,1kg,24,28 - 30,29 - 40
6/30/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/1/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/2/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/3/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/4/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/5/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/6/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/7/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/8/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/9/2022,Onion Big,1kg,22,25 - 28,26 - 36
7/10/2022,Onion Big,1kg,22,25 - 28,26 - 36
7/11/2022,Onion Big,1kg,22,25 - 28,26 - 36
7/12/2022,Onion Big,1kg,19,22 - 24,23 - 31
7/13/2022,Onion Big,1kg,19,22 - 24,23 - 31
7/14/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/15/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/16/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/17/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/18/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/19/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/20/2022,Onion Big,1kg,21,24 - 27,25 - 35
7/21/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/22/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/23/2022,Onion Big,1kg,24,28 - 30,29 - 40
7/24/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/25/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/26/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/27/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/28/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/29/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/30/2022,Onion Big,1kg,25,29 - 32,30 - 41
7/31/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/1/2022,Onion Big,1kg,21,24 - 27,25 - 35
8/2/2022,Onion Big,1kg,21,24 - 27,25 - 35
8/3/2022,Onion Big,1kg,21,24 - 27,25 - 35
8/4/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/5/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/6/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/7/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/8/2022,Onion Big,1kg,23,26 - 29,28 - 38
8/9/2022,Onion Big,1kg,23,26 - 29,28 - 38
8/10/2022,Onion Big,1kg,23,26 - 29,28 - 38
8/11/2022,Onion Big,1kg,23,26 - 29,28 - 38
8/12/2022,Onion Big,1kg,23,26 - 29,28 - 38
8/13/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/14/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/15/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/16/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/17/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/18/2022,Onion Big,1kg,28,32 - 36,34 - 46
8/19/2022,Onion Big,1kg,28,32 - 36,34 - 46
8/20/2022,Onion Big,1kg,28,32 - 36,34 - 46
8/21/2022,Onion Big,1kg,27,31 - 34,32 - 45
8/22/2022,Onion Big,1kg,27,31 - 34,32 - 45
8/23/2022,Onion Big,1kg,27,31 - 34,32 - 45
8/24/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/25/2022,Onion Big,1kg,24,28 - 30,29 - 40
8/26/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/27/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/28/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/29/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/30/2022,Onion Big,1kg,25,29 - 32,30 - 41
8/31/2022,Onion Big,1kg,25,29 - 32,30 - 41
9/1/2022,Onion Big,1kg,26,30 - 33,31 - 43
9/2/2022,Onion Big,1kg,26,30 - 33,31 - 43
9/3/2022,Onion Big,1kg,26,30 - 33,31 - 43
9/4/2022,Onion Big,1kg,26,30 - 33,31 - 43
9/5/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/6/2022,Onion Big,1kg,28,32 - 36,34 - 46
9/7/2022,Onion Big,1kg,28,32 - 36,34 - 46
9/8/2022,Onion Big,1kg,28,32 - 36,34 - 46
9/9/2022,Onion Big,1kg,28,32 - 36,34 - 46
9/10/2022,Onion Big,1kg,21,24 - 27,25 - 35
9/11/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/12/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/13/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/14/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/15/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/16/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/17/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/18/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/19/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/20/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/21/2022,Onion Big,1kg,22,25 - 28,26 - 36
9/22/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/23/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/24/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/25/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/26/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/27/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/28/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/29/2022,Onion Big,1kg,24,28 - 30,29 - 40
9/30/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/1/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/2/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/3/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/4/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/5/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/6/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/7/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/8/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/9/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/10/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/11/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/12/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/13/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/14/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/15/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/16/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/17/2022,Onion Big,1kg,23,26 - 29,28 - 38
10/18/2022,Onion Big,1kg,24,28 - 30,29 - 40
10/19/2022,Onion Big,1kg,24,28 - 30,29 - 40
10/20/2022,Onion Big,1kg,24,28 - 30,29 - 40
10/21/2022,Onion Big,1kg,24,28 - 30,29 - 40
10/22/2022,Onion Big,1kg,24,28 - 30,29 - 40
10/23/2022,Onion Big,1kg,24,28 - 30,29 - 40
10/24/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/25/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/26/2022,Onion Big,1kg,21,24 - 27,25 - 35
10/27/2022,Onion Big,1kg,22,25 - 28,26 - 36
10/28/2022,Onion Big,1kg,22,25 - 28,26 - 36
10/29/2022,Onion Big,1kg,28,32 - 36,34 - 46
10/30/2022,Onion Big,1kg,28,32 - 36,34 - 46
10/31/2022,Onion Big,1kg,28,32 - 36,34 - 46
11/1/2022,Onion Big,1kg,28,32 - 36,34 - 46
11/2/2022,Onion Big,1kg,28,32 - 36,34 - 46
11/3/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/4/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/5/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/6/2022,Onion Big,1kg,34,39 - 43,41 - 56
11/7/2022,Onion Big,1kg,34,39 - 43,41 - 56
11/8/2022,Onion Big,1kg,34,39 - 43,41 - 56
11/9/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/10/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/11/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/12/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/13/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/14/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/15/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/16/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/17/2022,Onion Big,1kg,37,43 - 47,44 - 61
11/18/2022,Onion Big,1kg,35,40 - 44,42 - 58
11/19/2022,Onion Big,1kg,35,40 - 44,42 - 58
11/20/2022,Onion Big,1kg,35,40 - 44,42 - 58
11/21/2022,Onion Big,1kg,33,38 - 42,40 - 54
11/22/2022,Onion Big,1kg,33,38 - 42,40 - 54
11/23/2022,Onion Big,1kg,33,38 - 42,40 - 54
11/24/2022,Onion Big,1kg,39,45 - 50,47 - 64
11/25/2022,Onion Big,1kg,39,45 - 50,47 - 64
11/26/2022,Onion Big,1kg,35,40 - 44,42 - 58
11/27/2022,Onion Big,1kg,35,40 - 44,42 - 58
11/28/2022,Onion Big,1kg,29,33 - 37,35 - 48
11/29/2022,Onion Big,1kg,29,33 - 37,35 - 48
11/30/2022,Onion Big,1kg,26,30 - 33,31 - 43
12/1/2022,Onion Big,1kg,26,30 - 33,31 - 43
12/2/2022,Onion Big,1kg,26,30 - 33,31 - 43
12/3/2022,Onion Big,1kg,30,35 - 38,36 - 50
12/4/2022,Onion Big,1kg,30,35 - 38,36 - 50
12/5/2022,Onion Big,1kg,30,35 - 38,36 - 50
12/6/2022,Onion Big,1kg,30,35 - 38,36 - 50
12/7/2022,Onion Big,1kg,29,33 - 37,35 - 48
12/8/2022,Onion Big,1kg,29,33 - 37,35 - 48
12/9/2022,Onion Big,1kg,29,33 - 37,35 - 48
12/10/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/11/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/12/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/13/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/14/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/15/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/16/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/17/2022,Onion Big,1kg,28,32 - 36,34 - 46
12/18/2022,Onion Big,1kg,25,29 - 32,30 - 41
12/19/2022,Onion Big,1kg,25,29 - 32,30 - 41
12/20/2022,Onion Big,1kg,25,29 - 32,30 - 41
12/21/2022,Onion Big,1kg,25,29 - 32,30 - 41
12/22/2022,Onion Big,1kg,25,29 - 32,30 - 41
12/23/2022,Onion Big,1kg,25,29 - 32,30 - 41
12/24/2022,Onion Big,1kg,27,31 - 34,32 - 45
12/25/2022,Onion Big,1kg,27,31 - 34,32 - 45
12/26/2022,Onion Big,1kg,27,31 - 34,32 - 45
12/27/2022,Onion Big,1kg,29,33 - 37,35 - 48
12/28/2022,Onion Big,1kg,29,33 - 37,35 - 48
12/29/2022,Onion Big,1kg,27,31 - 34,32 - 45
12/30/2022,Onion Big,1kg,27,31 - 34,32 - 45
12/31/2022,Onion Big,1kg,27,31 - 34,32 - 45
1/1/2023,Onion Big,1kg,27,31 - 34,32 - 45
1/2/2023,Onion Big,1kg,30,35 - 38,36 - 50
1/3/2023,Onion Big,1kg,30,35 - 38,36 - 50
1/4/2023,Onion Big,1kg,24,28 - 30,29 - 40
1/5/2023,Onion Big,1kg,24,28 - 30,29 - 40
1/6/2023,Onion Big,1kg,24,28 - 30,29 - 40
1/7/2023,Onion Big,1kg,24,28 - 30,29 - 40
1/8/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/9/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/10/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/11/2023,Onion Big,1kg,27,31 - 34,32 - 45
1/12/2023,Onion Big,1kg,27,31 - 34,32 - 45
1/13/2023,Onion Big,1kg,27,31 - 34,32 - 45
1/14/2023,Onion Big,1kg,25,29 - 32,30 - 41
1/15/2023,Onion Big,1kg,25,29 - 32,30 - 41
1/16/2023,Onion Big,1kg,25,29 - 32,30 - 41
1/17/2023,Onion Big,1kg,25,29 - 32,30 - 41
1/18/2023,Onion Big,1kg,24,28 - 30,29 - 40
1/19/2023,Onion Big,1kg,24,28 - 30,29 - 40
1/20/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/21/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/22/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/23/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/24/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/25/2023,Onion Big,1kg,30,35 - 38,36 - 50
1/26/2023,Onion Big,1kg,30,35 - 38,36 - 50
1/27/2023,Onion Big,1kg,30,35 - 38,36 - 50
1/28/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/29/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/30/2023,Onion Big,1kg,26,30 - 33,31 - 43
1/31/2023,Onion Big,1kg,27,31 - 34,32 - 45
2/1/2023,Onion Big,1kg,27,31 - 34,32 - 45
2/2/2023,Onion Big,1kg,27,31 - 34,32 - 45
2/3/2023,Onion Big,1kg,22,25 - 28,26 - 36
2/4/2023,Onion Big,1kg,22,25 - 28,26 - 36
2/5/2023,Onion Big,1kg,22,25 - 28,26 - 36
2/6/2023,Onion Big,1kg,24,28 - 30,29 - 40
2/7/2023,Onion Big,1kg,24,28 - 30,29 - 40
2/8/2023,Onion Big,1kg,24,28 - 30,29 - 40
2/9/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/10/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/11/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/12/2023,Onion Big,1kg,23,26 - 29,28 - 38
2/13/2023,Onion Big,1kg,23,26 - 29,28 - 38
2/14/2023,Onion Big,1kg,23,26 - 29,28 - 38
2/15/2023,Onion Big,1kg,23,26 - 29,28 - 38
2/16/2023,Onion Big,1kg,24,28 - 30,29 - 40
2/17/2023,Onion Big,1kg,24,28 - 30,29 - 40
2/18/2023,Onion Big,1kg,24,28 - 30,29 - 40
2/19/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/20/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/21/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/22/2023,Onion Big,1kg,26,30 - 33,31 - 43
2/23/2023,Onion Big,1kg,25,29 - 32,30 - 41
2/24/2023,Onion Big,1kg,25,29 - 32,30 - 41
2/25/2023,Onion Big,1kg,21,24 - 27,25 - 35
2/26/2023,Onion Big,1kg,21,24 - 27,25 - 35
2/27/2023,Onion Big,1kg,21,24 - 27,25 - 35
2/28/2023,Onion Big,1kg,22,25 - 28,26 - 36
3/1/2023,Onion Big,1kg,22,25 - 28,26 - 36
3/2/2023,Onion Big,1kg,22,25 - 28,26 - 36
3/3/2023,Onion Big,1kg,22,25 - 28,26 - 36
3/4/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/5/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/6/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/7/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/8/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/9/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/10/2023,Onion Big,1kg,20,23 - 25,24 - 33
3/11/2023,Onion Big,1kg,20,23 - 25,24 - 33
3/12/2023,Onion Big,1kg,20,23 - 25,24 - 33
3/13/2023,Onion Big,1kg,20,23 - 25,24 - 33
3/14/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/15/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/16/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/17/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/18/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/19/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/20/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/21/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/22/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/23/2023,Onion Big,1kg,17,20 - 22,20 - 28
3/24/2023,Onion Big,1kg,20,23 - 25,24 - 33
3/25/2023,Onion Big,1kg,20,23 - 25,24 - 33
3/26/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/27/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/28/2023,Onion Big,1kg,19,22 - 24,23 - 31
3/29/2023,Onion Big,1kg,22,25 - 28,26 - 36
3/30/2023,Onion Big,1kg,22,25 - 28,26 - 36
3/31/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/1/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/2/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/3/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/4/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/5/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/6/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/7/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/8/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/9/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/10/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/11/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/12/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/13/2023,Onion Big,1kg,22,25 - 28,26 - 36
4/14/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/15/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/16/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/17/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/18/2023,Onion Big,1kg,19,22 - 24,23 - 31
4/19/2023,Onion Big,1kg,19,22 - 24,23 - 31
